super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count,unitid,year,fips_ipeds,slevel,fourcat,public,private,forprofit,selective,more_selective,non_selective,total_enrollment,col_white,mkt_white,dif_white,col_hispa,mkt_hispa,dif_hispa,col_black,mkt_black,dif_black,col_asian,mkt_asian,dif_asian,col_amind,mkt_amind,dif_amind,col_pacis,mkt_pacis,dif_pacis,col_twora,mkt_twora,dif_twora
2689,CUNY Hunter College,New York,NY,49800,44400,21.163614,0.56101543,35.636646,0.84728265,7.5420022,0.17931563,-4.5349264,-10.824342,1489.333333333333,190594,2017,New York,4-year,Public Selective,1,0,0,1,0,0,15820,23.2048,32.13899,-8.934188,31.21997,24.9032,6.316771,9.709229,17.99077,-8.281543,27.64223,8.724052,18.91817,0.1390645,0.3677035,-0.228639,0.3603034,0.0511045,0.3091989,2.054362,3.259211,-1.204849
11189,United Talmudical Seminary,New York,NY,21200,15300,60.977478,0.5769859,11.770001,0.64897782,7.1770496,0.39573029,-4.1445279,3.4881175,218,197018,2009,New York,4-year,Private Non-Selective,0,1,0,0,0,1,1515,93.59736,45.31606,48.2813,1.122112,18.93802,-17.81591,0,17.71344,-17.71344,0,6.103672,-6.103672,0,0.2324733,-0.2324733,NA,0.0404749,NA,NA,1.980815,NA
11189,United Talmudical Seminary,New York,NY,21200,15300,60.977478,0.5769859,11.770001,0.64897782,7.1770496,0.39573029,-4.1445279,3.4881175,218,197018,2010,New York,4-year,Private Non-Selective,0,1,0,0,0,1,1438,95.20167,41.41078,53.79089,1.043115,20.86152,-19.81841,0,17.73206,-17.73206,0,7.024991,-7.024991,0,0.4716882,-0.4716882,0,0.0580997,-0.0580997,0,3.134691,-3.134691
11189,United Talmudical Seminary,New York,NY,21200,15300,60.977478,0.5769859,11.770001,0.64897782,7.1770496,0.39573029,-4.1445279,3.4881175,218,197018,2011,New York,4-year,Private Non-Selective,0,1,0,0,0,1,1438,96.24478,42.29428,53.95051,1.32128,20.69762,-19.37634,0,17.66534,-17.66534,0,7.052771,-7.052771,0,0.2766436,-0.2766436,0,0.0431914,-0.0431914,0,2.421773,-2.421773
11189,United Talmudical Seminary,New York,NY,21200,15300,60.977478,0.5769859,11.770001,0.64897782,7.1770496,0.39573029,-4.1445279,3.4881175,218,197018,2012,New York,4-year,Private Non-Selective,0,1,0,0,0,1,1589,97.29389,41.81564,55.47825,0.9439899,20.99002,-20.04603,0,17.80008,-17.80008,0,7.108897,-7.108897,0,0.2909294,-0.2909294,0,0.0589979,-0.0589979,0,2.647261,-2.647261
11189,United Talmudical Seminary,New York,NY,21200,15300,60.977478,0.5769859,11.770001,0.64897782,7.1770496,0.39573029,-4.1445279,3.4881175,218,197018,2013,New York,4-year,Private Non-Selective,0,1,0,0,0,1,1814,97.96031,41.30988,56.65043,0.1653804,21.20245,-21.03707,0,17.87119,-17.87119,0,7.119565,-7.119565,0,0.2985809,-0.2985809,0,0.0596533,-0.0596533,0,2.813362,-2.813362
11189,United Talmudical Seminary,New York,NY,21200,15300,60.977478,0.5769859,11.770001,0.64897782,7.1770496,0.39573029,-4.1445279,3.4881175,218,197018,2014,New York,4-year,Private Non-Selective,0,1,0,0,0,1,2096,95.61069,40.78059,54.8301,1.097328,21.37559,-20.27826,0,17.84255,-17.84255,0,7.224581,-7.224581,0,0.2870641,-0.2870641,0,0.0584124,-0.0584124,0,2.995649,-2.995649
11189,United Talmudical Seminary,New York,NY,21200,15300,60.977478,0.5769859,11.770001,0.64897782,7.1770496,0.39573029,-4.1445279,3.4881175,218,197018,2015,New York,4-year,Private Non-Selective,0,1,0,0,0,1,2096,94.84733,40.506100000000004,54.34123,1.097328,21.4833,-20.38597,0,17.77099,-17.77099,0,7.3903740000000004,-7.3903740000000004,0,0.2796767,-0.2796767,0,0.0620635,-0.0620635,0,3.024979,-3.024979
11189,United Talmudical Seminary,New York,NY,21200,15300,60.977478,0.5769859,11.770001,0.64897782,7.1770496,0.39573029,-4.1445279,3.4881175,218,197018,2016,New York,4-year,Private Non-Selective,0,1,0,0,0,1,2108,95.44592,40.43565,55.01027,0.9013283,21.53714,-20.63581,0,17.70709,-17.70709,0,7.480796,-7.480796,0,0.2801396,-0.2801396,0,0.0568454,-0.0568454,0,3.178531,-3.178531
11189,United Talmudical Seminary,New York,NY,21200,15300,60.977478,0.5769859,11.770001,0.64897782,7.1770496,0.39573029,-4.1445279,3.4881175,218,197018,2017,New York,4-year,Private Non-Selective,0,1,0,0,0,1,1944,96.91358,40.41821,56.49537,0.5658436,21.63413,-21.06829,0,17.51829,-17.51829,0,7.623912,-7.623912,0,0.2667816,-0.2667816,0,0.0507189,-0.0507189,0,3.187274,-3.187274
